geojson_country,education_expenditures,purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate
Netherlands,5.541666667,7.42854E+11,99,29.86923077,5.569230769
Netherlands Antilles,,2800000000,96.7,,17
New Caledonia,,7130615385,96.46923077,,16.54615385
New Zealand,6.508333333,1.42008E+11,99,36.2,5.361538462
Nicaragua,3.916666667,25080000000,75,43.02307692,6.315384615
Niger,4.633333333,14826076923,25.00769231,39.07692308,2.68
Nigeria,0.9,6.43669E+11,63.22307692,44.87692308,14.49230769
Niue,,9639230.769,95,,12
Norfolk Island,,,,,
North Korea,,40000000000,99.53846154,,25.6
North Macedonia,,31030000000,97.8,33.7,22.4
Northern Mariana Islands,,876615384.6,97,,9.092307692
Norway,7.133333333,3.01454E+11,100,25.98461538,3.576923077
Oman,4.625,1.14739E+11,86.65384615,,15
Pacific Ocean,,,,,
