,country,map_references,lattitude,longitude,education_expenditures,purchasing_power_parity,per_capita_purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate,povery_rate,household_income_lowest_ten_percent,household_income_highest_ten_percent
226,Timor-Leste,Southeast Asia,-8.833333333333334,125.91666666666667,2.7,7426000000,6000,67.5,31.9,4.4,41.8,4.0,27
227,Togo,Africa,8.0,1.1666666666666667,5.1,12970000000,1700,63.7,46.0,6.9,55.1,3.3,27.1
228,Tokelau,Oceania,-9.0,-172.0,,1500000,1000,,,,,,
229,Tonga,Oceania,-20.0,-175.0,,591000000,5900,99.4,,1.1,22.5,,
230,Trinidad And Tobago,Central America and the Caribbean,11.0,-61.0,,42850000000,31300,99.0,,4.9,20.0,,
231,Tunisia,Africa,34.0,9.0,6.6,137700000000,11900,81.8,40.0,15.5,15.5,2.6,27
232,Turkey,Middle East,39.0,35.0,4.3,2186000000000,27000,96.2,40.2,10.9,21.9,2.1,30.3
233,Turkmenistan,Asia,40.0,60.0,3.0,103700000000,18200,99.7,40.8,11.0,0.2,2.6,31.7
234,Turks And Caicos Islands,Central America and the Caribbean,21.75,-71.58333333333333,3.3,632000000,29100,,,10.0,,,
235,Tuvalu,Oceania,-8.0,178.0,,42000000,3800,,,,26.3,,
236,Uganda,Africa,1.0,32.0,2.6,89190000000,2400,78.4,39.5,9.4,21.4,2.4,36.1
237,Ukraine,AsiaEurope,49.0,32.0,5.0,369600000000,8800,99.8,25.5,9.2,3.8,4.2,21.6
238,United Arab Emirates,Middle East,24.0,54.0,,696000000000,68600,93.8,,1.6,19.5,,
239,United Kingdom,Europe,54.0,-2.0,5.5,2925000000000,44300,,32.4,4.4,15.0,1.7,31.1
240,United States,North America,38.0,-97.0,5.0,19490000000000,59800,,45.0,4.4,15.1,2.0,30
241,Uruguay,South America,-33.0,-56.0,4.4,78160000000,22400,98.6,41.6,7.6,9.7,1.9,30.8
242,Uzbekistan,Asia,41.0,64.0,6.4,223000000000,6900,100.0,36.8,5.0,14.0,2.8,29.6
243,Vanuatu,Oceania,-16.0,167.0,4.7,772000000,2700,85.2,,1.7,,,
244,Venezuela,South America,8.0,-66.0,6.9,381600000000,12500,97.1,39.0,27.1,19.7,1.7,32.7
245,Vietnam,Southeast Asia,16.166666666666668,107.83333333333333,5.7,648700000000,6900,94.5,34.8,2.2,8.0,2.7,26.8
246,Virgin Islands,Central America and the Caribbean,18.333333333333332,-64.83333333333333,,3872000000,37000,,,10.4,28.9,,
247,Wake Island,Oceania,19.283333333333335,166.65,,,,,,,,,
248,Wallis And Futuna,Oceania,-13.3,-176.2,,60000000,3800,,,8.8,,,
249,West Bank,Middle East,32.0,35.25,5.3,21220000000,4300,96.9,34.5,27.9,18.0,3.2,28.2
250,Western Sahara,Africa,24.5,-13.0,,906500000,2500,,,,,,
251,Yemen,Middle East,15.0,48.0,,73630000000,2500,70.1,37.9,27.0,54.0,2.6,30.3
252,Zambia,Africa,-15.0,30.0,,68930000000,4000,63.4,57.5,15.0,54.4,1.5,47.4
253,Zimbabwe,Africa,-20.0,30.0,7.5,34270000000.000004,2300,86.5,43.2,11.3,72.3,2.0,40.4
